Código da Instituição,Nome da Instituição,Categoria Administrativa,Organização Acadêmica,Código do Curso de Graduação,Nome do Curso de Graduação,Código da Região Geográfica do Curso,Código da Unidade Federativa do Curso,Código do Município do Curso,Grau Acadêmico,Modalidade de Ensino,Código da área do Curso segundo a classificação CINE BRASIL,Nome da área do Curso segundo a classificação CINE BRASIL,Código da Grande Área do Curso segundo a classificação CINE BRASIL,Nome da Grande Área do Curso segundo a classificação CINE BRASIL,Ano de Ingresso,Ano de Referência,Prazo de Integralização em Anos,Ano de Integralização do Curso,Prazo de Acompanhamento do Curso em anos,Ano Máximo de Acompanhamento do Curso,Quantidade de Ingressantes no Curso,Quantidade de Permanência no Curso no ano de referência,Quantidade de Concluintes no Curso no ano de referência,Quantidade de Desistência no Curso no ano de referência,Quantidade de Falecimentos no Curso no ano de referência,Indicadores de Trajetória,Taxa de Permanência - TAP,Taxa de Conclusão Acumulada - TCA,Taxa de Desistência Acumulada - TDA,Taxa de Conclusão Anual - TCAN,Taxa de Desistência Anual - TADA
CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3558,ADMINISTRAÇÃO,2,24,2408003,1,1,0413A01,Administração,04,"Negócios, administração e direito",2019,2019,5,2023,8,2026,54,51,0,3,0,"94,4","0,0","5,6","0,0","5,6"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3558,ADMINISTRAÇÃO,2,24,2408003,1,1,0413A01,Administração,04,"Negócios, administração e direito",2019,2020,5,2023,8,2026,54,44,0,7,0,"81,5","0,0","18,5","0,0","13,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3558,ADMINISTRAÇÃO,2,24,2408003,1,1,0413A01,Administração,04,"Negócios, administração e direito",2019,2021,5,2023,8,2026,54,43,0,1,0,"79,6","0,0","20,4","0,0","1,9"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3558,ADMINISTRAÇÃO,2,24,2408003,1,1,0413A01,Administração,04,"Negócios, administração e direito",2019,2022,5,2023,8,2026,54,34,0,9,0,"63,0","0,0","37,0","0,0","16,7"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3558,ADMINISTRAÇÃO,2,24,2408003,1,1,0413A01,Administração,04,"Negócios, administração e direito",2019,2023,5,2023,8,2026,54,26,8,0,0,"48,1","14,8","37,0","14,8","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3559,CIÊNCIAS ECONÔMICAS,2,24,2408003,1,1,0311E01,Economia,03,"Ciências sociais, comunicação e informação",2019,2019,5,2023,9,2027,94,79,0,15,0,"84,0","0,0","16,0","0,0","16,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3559,CIÊNCIAS ECONÔMICAS,2,24,2408003,1,1,0311E01,Economia,03,"Ciências sociais, comunicação e informação",2019,2020,5,2023,9,2027,94,72,0,7,0,"76,6","0,0","23,4","0,0","7,4"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3559,CIÊNCIAS ECONÔMICAS,2,24,2408003,1,1,0311E01,Economia,03,"Ciências sociais, comunicação e informação",2019,2021,5,2023,9,2027,94,68,0,4,0,"72,3","0,0","27,7","0,0","4,3"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3559,CIÊNCIAS ECONÔMICAS,2,24,2408003,1,1,0311E01,Economia,03,"Ciências sociais, comunicação e informação",2019,2022,5,2023,9,2027,94,34,0,34,0,"36,2","0,0","63,8","0,0","36,2"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3559,CIÊNCIAS ECONÔMICAS,2,24,2408003,1,1,0311E01,Economia,03,"Ciências sociais, comunicação e informação",2019,2023,5,2023,9,2027,94,29,2,3,0,"30,9","2,1","67,0","2,1","3,2"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3560,CIÊNCIAS CONTÁBEIS,2,24,2408003,1,1,0411C01,Contabilidade,04,"Negócios, administração e direito",2019,2019,5,2023,9,2027,83,76,0,7,0,"91,6","0,0","8,4","0,0","8,4"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3560,CIÊNCIAS CONTÁBEIS,2,24,2408003,1,1,0411C01,Contabilidade,04,"Negócios, administração e direito",2019,2020,5,2023,9,2027,83,74,0,2,0,"89,2","0,0","10,8","0,0","2,4"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3560,CIÊNCIAS CONTÁBEIS,2,24,2408003,1,1,0411C01,Contabilidade,04,"Negócios, administração e direito",2019,2021,5,2023,9,2027,83,73,0,1,0,"88,0","0,0","12,0","0,0","1,2"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3560,CIÊNCIAS CONTÁBEIS,2,24,2408003,1,1,0411C01,Contabilidade,04,"Negócios, administração e direito",2019,2022,5,2023,9,2027,83,49,0,24,0,"59,0","0,0","41,0","0,0","28,9"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3560,CIÊNCIAS CONTÁBEIS,2,24,2408003,1,1,0411C01,Contabilidade,04,"Negócios, administração e direito",2019,2023,5,2023,9,2027,83,36,13,0,0,"43,4","15,7","41,0","15,7","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3561,PEDAGOGIA,2,24,2408003,2,1,0113P01,Pedagogia,01,Educação,2019,2019,5,2023,8,2026,130,120,0,10,0,"92,3","0,0","7,7","0,0","7,7"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3561,PEDAGOGIA,2,24,2408003,2,1,0113P01,Pedagogia,01,Educação,2019,2020,5,2023,8,2026,130,119,1,0,0,"91,5","0,8","7,7","0,8","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3561,PEDAGOGIA,2,24,2408003,2,1,0113P01,Pedagogia,01,Educação,2019,2021,5,2023,8,2026,130,119,0,0,0,"91,5","0,8","7,7","0,0","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3561,PEDAGOGIA,2,24,2408003,2,1,0113P01,Pedagogia,01,Educação,2019,2022,5,2023,8,2026,130,70,23,26,0,"53,8","18,5","27,7","17,7","20,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3561,PEDAGOGIA,2,24,2408003,2,1,0113P01,Pedagogia,01,Educação,2019,2023,5,2023,8,2026,130,35,35,0,0,"26,9","45,4","27,7","26,9","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3562,SERVIÇO SOCIAL,2,24,2408003,1,1,0923S01,Serviço social,09,Saúde e bem-estar,2019,2019,5,2023,8,2026,57,49,0,8,0,"86,0","0,0","14,0","0,0","14,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3562,SERVIÇO SOCIAL,2,24,2408003,1,1,0923S01,Serviço social,09,Saúde e bem-estar,2019,2020,5,2023,8,2026,57,45,0,4,0,"78,9","0,0","21,1","0,0","7,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3562,SERVIÇO SOCIAL,2,24,2408003,1,1,0923S01,Serviço social,09,Saúde e bem-estar,2019,2021,5,2023,8,2026,57,42,0,3,0,"73,7","0,0","26,3","0,0","5,3"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3562,SERVIÇO SOCIAL,2,24,2408003,1,1,0923S01,Serviço social,09,Saúde e bem-estar,2019,2022,5,2023,8,2026,57,24,11,7,0,"42,1","19,3","38,6","19,3","12,3"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3562,SERVIÇO SOCIAL,2,24,2408003,1,1,0923S01,Serviço social,09,Saúde e bem-estar,2019,2023,5,2023,8,2026,57,17,7,0,0,"29,8","31,6","38,6","12,3","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3563,EDUCAÇÃO FÍSICA,2,24,2408003,2,1,0114E03,Educação física formação de professor,01,Educação,2019,2019,5,2023,8,2026,41,39,0,2,0,"95,1","0,0","4,9","0,0","4,9"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3563,EDUCAÇÃO FÍSICA,2,24,2408003,2,1,0114E03,Educação física formação de professor,01,Educação,2019,2020,5,2023,8,2026,41,39,0,0,0,"95,1","0,0","4,9","0,0","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3563,EDUCAÇÃO FÍSICA,2,24,2408003,2,1,0114E03,Educação física formação de professor,01,Educação,2019,2021,5,2023,8,2026,41,39,0,0,0,"95,1","0,0","4,9","0,0","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3563,EDUCAÇÃO FÍSICA,2,24,2408003,2,1,0114E03,Educação física formação de professor,01,Educação,2019,2022,5,2023,8,2026,41,21,8,10,0,"51,2","19,5","29,3","19,5","24,4"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3563,EDUCAÇÃO FÍSICA,2,24,2408003,2,1,0114E03,Educação física formação de professor,01,Educação,2019,2023,5,2023,8,2026,41,15,6,0,0,"36,6","34,1","29,3","14,6","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3564,ENFERMAGEM,2,24,2408003,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2019,2019,6,2024,10,2028,36,30,0,5,1,"85,7","0,0","14,3","0,0","14,3"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3564,ENFERMAGEM,2,24,2408003,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2019,2020,6,2024,10,2028,36,28,0,2,0,"80,0","0,0","20,0","0,0","5,7"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3564,ENFERMAGEM,2,24,2408003,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2019,2021,6,2024,10,2028,36,28,0,0,0,"80,0","0,0","20,0","0,0","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3564,ENFERMAGEM,2,24,2408003,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2019,2022,6,2024,10,2028,36,21,0,7,0,"60,0","0,0","40,0","0,0","20,0"
